id,photo1_url,photo2_url
7301554,https://basket-01.wb.ru/vol73/part7301/7301554/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301554/images/big/3.jpg, 
92347409,https://basket-05.wb.ru/vol923/part92347/92347409/images/big/2.jpg, https://basket-05.wb.ru/vol923/part92347/92347409/images/big/3.jpg, 
7301549,https://basket-01.wb.ru/vol73/part7301/7301549/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301549/images/big/3.jpg, 
7520817,https://basket-01.wb.ru/vol75/part7520/7520817/images/big/2.jpg, https://basket-01.wb.ru/vol75/part7520/7520817/images/big/3.jpg, 
17177068,https://basket-02.wb.ru/vol171/part17177/17177068/images/big/2.jpg, https://basket-02.wb.ru/vol171/part17177/17177068/images/big/3.jpg, 
92347531,https://basket-05.wb.ru/vol923/part92347/92347531/images/big/2.jpg, https://basket-05.wb.ru/vol923/part92347/92347531/images/big/3.jpg, 
16981120,https://basket-02.wb.ru/vol169/part16981/16981120/images/big/2.jpg, https://basket-02.wb.ru/vol169/part16981/16981120/images/big/3.jpg, 
10864141,https://basket-01.wb.ru/vol108/part10864/10864141/images/big/2.jpg, https://basket-01.wb.ru/vol108/part10864/10864141/images/big/3.jpg, 
25928096,https://basket-02.wb.ru/vol259/part25928/25928096/images/big/2.jpg, https://basket-02.wb.ru/vol259/part25928/25928096/images/big/3.jpg, 
7301545,https://basket-01.wb.ru/vol73/part7301/7301545/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301545/images/big/3.jpg, 
19402146,https://basket-02.wb.ru/vol194/part19402/19402146/images/big/2.jpg, https://basket-02.wb.ru/vol194/part19402/19402146/images/big/3.jpg, 
7301529,https://basket-01.wb.ru/vol73/part7301/7301529/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301529/images/big/3.jpg, 
7301533,https://basket-01.wb.ru/vol73/part7301/7301533/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301533/images/big/3.jpg, 
7301547,https://basket-01.wb.ru/vol73/part7301/7301547/images/big/2.jpg, https://basket-01.wb.ru/vol73/part7301/7301547/images/big/3.jpg, 
7520823,https://basket-01.wb.ru/vol75/part7520/7520823/images/big/2.jpg, https://basket-01.wb.ru/vol75/part7520/7520823/images/big/3.jpg, 
8786009,https://basket-01.wb.ru/vol87/part8786/8786009/images/big/2.jpg, https://basket-01.wb.ru/vol87/part8786/8786009/images/big/3.jpg, 
151176977,https://basket-10.wb.ru/vol1511/part151176/151176977/images/big/2.jpg, https://basket-10.wb.ru/vol1511/part151176/151176977/images/big/3.jpg, 
17177069,https://basket-02.wb.ru/vol171/part17177/17177069/images/big/2.jpg, https://basket-02.wb.ru/vol171/part17177/17177069/images/big/3.jpg, 
13518221,https://basket-01.wb.ru/vol135/part13518/13518221/images/big/2.jpg, https://basket-01.wb.ru/vol135/part13518/13518221/images/big/3.jpg, 
93540937,https://basket-05.wb.ru/vol935/part93540/93540937/images/big/2.jpg, https://basket-05.wb.ru/vol935/part93540/93540937/images/big/3.jpg, 
8785989,https://basket-01.wb.ru/vol87/part8785/8785989/images/big/2.jpg, https://basket-01.wb.ru/vol87/part8785/8785989/images/big/3.jpg, 
8785987,https://basket-01.wb.ru/vol87/part8785/8785987/images/big/2.jpg, https://basket-01.wb.ru/vol87/part8785/8785987/images/big/3.jpg, 
16663877,https://basket-02.wb.ru/vol166/part16663/16663877/images/big/2.jpg, https://basket-02.wb.ru/vol166/part16663/16663877/images/big/3.jpg, 
170207366,https://basket-12.wb.ru/vol1702/part170207/170207366/images/big/2.jpg, https://basket-12.wb.ru/vol1702/part170207/170207366/images/big/3.jpg, 
195955729,https://basket-13.wb.ru/vol1959/part195955/195955729/images/big/2.jpg, https://basket-13.wb.ru/vol1959/part195955/195955729/images/big/3.jpg, 
148347313,https://basket-10.wb.ru/vol1483/part148347/148347313/images/big/2.jpg, https://basket-10.wb.ru/vol1483/part148347/148347313/images/big/3.jpg, 
195955730,https://basket-13.wb.ru/vol1959/part195955/195955730/images/big/2.jpg, https://basket-13.wb.ru/vol1959/part195955/195955730/images/big/3.jpg, 
170207364,https://basket-12.wb.ru/vol1702/part170207/170207364/images/big/2.jpg, https://basket-12.wb.ru/vol1702/part170207/170207364/images/big/3.jpg, 
105261487,https://basket-06.wb.ru/vol1052/part105261/105261487/images/big/2.jpg, https://basket-06.wb.ru/vol1052/part105261/105261487/images/big/3.jpg, 
93540435,https://basket-05.wb.ru/vol935/part93540/93540435/images/big/2.jpg, https://basket-05.wb.ru/vol935/part93540/93540435/images/big/3.jpg, 
7520831,https://basket-01.wb.ru/vol75/part7520/7520831/images/big/2.jpg, https://basket-01.wb.ru/vol75/part7520/7520831/images/big/3.jpg, 
8048817,https://basket-01.wb.ru/vol80/part8048/8048817/images/big/2.jpg, https://basket-01.wb.ru/vol80/part8048/8048817/images/big/3.jpg, 
16981124,https://basket-02.wb.ru/vol169/part16981/16981124/images/big/2.jpg, https://basket-02.wb.ru/vol169/part16981/16981124/images/big/3.jpg, 
151175223,https://basket-10.wb.ru/vol1511/part151175/151175223/images/big/2.jpg, https://basket-10.wb.ru/vol1511/part151175/151175223/images/big/3.jpg, 
